,RecordNumber,CustomerId,LastName,RiskScore,Location,Gender,Age,LoyaltyYears,AccountBalance,ProductCount,HasCreditCard,ActiveStatus,IncomeEstimate,AnnualSpending,HasComplaint,ComplaintSatisfaction,CardType,CreditCardPoints
129,130,1129,Ware,11.0,San Antonio,Female,35.0,17.0,61815.0,6.0,1.0,0.0,187055.0,69150.43674584456,1.0,7.0,MasterCard,2666.0
130,131,1130,Collins,33.0,San Diego,Male,49.0,10.0,85748.0,9.0,0.0,1.0,190534.0,75658.3554503408,1.0,4.0,American Express,815.0
131,132,1131,Lucero,32.0,Columbus,Male,28.0,2.0,64344.0,4.0,1.0,0.0,39360.0,29440.79692803869,0.0,6.0,American Express,2511.0
132,133,1132,Palmer,47.0,Denver,Female,37.0,11.0,36618.0,2.0,0.0,0.0,105657.0,45333.12424648709,0.0,9.0,Discover,246.0
133,134,1133,Farrell,22.0,Philadelphia,Male,41.0,8.0,77234.0,9.0,0.0,0.0,177359.0,84566.33731335223,1.0,5.0,Visa,4825.0
134,135,1134,Williams,61.0,New York,Female,32.0,6.0,62114.0,2.0,0.0,0.0,54160.0,26776.471759360156,0.0,3.0,American Express,416.0
135,136,1135,Barnett,87.0,Charlotte,Male,65.0,8.0,71130.0,10.0,0.0,1.0,26789.0,42285.89236814898,0.0,6.0,Discover,2447.0
136,137,1136,Ortiz,36.0,New York,Female,24.0,12.0,26525.0,9.0,0.0,1.0,178253.0,92060.66962508252,0.0,9.0,MasterCard,3717.0
137,138,1137,Reilly,98.0,Indianapolis,Female,38.0,17.0,80818.0,2.0,1.0,0.0,165457.0,70733.70973031658,1.0,8.0,MasterCard,107.0
138,139,1138,Wagner,43.0,New York,Male,59.0,4.0,15334.0,8.0,0.0,1.0,102597.0,55502.65420184318,0.0,9.0,American Express,2631.0
139,140,1139,Morgan,85.0,Charlotte,Male,43.0,12.0,95715.0,9.0,0.0,1.0,85641.0,44421.9292937474,0.0,9.0,Visa,838.0
140,141,1140,Dixon,90.0,Los Angeles,Female,61.0,3.0,63767.0,10.0,0.0,0.0,64247.0,42631.71541181916,1.0,6.0,Discover,4513.0
141,142,1141,Gonzalez,34.0,Columbus,Female,31.0,1.0,7644.0,9.0,0.0,0.0,106673.0,50210.91408559462,0.0,5.0,American Express,4916.0
142,143,1142,Donovan,64.0,San Diego,Male,54.0,15.0,33933.0,10.0,0.0,1.0,25544.0,24200.122801898782,1.0,6.0,MasterCard,1421.0
143,144,1143,Mathews,98.0,San Diego,Male,38.0,8.0,44469.0,9.0,0.0,1.0,164347.0,64960.869111297055,1.0,2.0,Visa,4778.0
144,145,1144,Ashley,100.0,Denver,Female,35.0,8.0,34687.0,2.0,1.0,1.0,83248.0,4657.260587579687,1.0,1.0,Discover,3912.0
145,146,1145,Morton,46.0,San Antonio,Male,22.0,5.0,53656.0,4.0,1.0,1.0,54550.0,29114.728563478708,0.0,10.0,American Express,255.0
146,147,1146,Harris,77.0,,Female,20.0,10.0,18375.0,7.0,0.0,0.0,73693.0,22409.83982315398,0.0,4.0,Discover,2827.0
147,148,1147,Foster,2.0,Philadelphia,Female,40.0,0.0,66206.0,2.0,1.0,0.0,148924.0,53976.05061939522,1.0,5.0,Visa,837.0
148,149,1148,Edwards,0.0,Philadelphia,Female,43.0,3.0,97462.0,1.0,0.0,1.0,170713.0,83633.68004547065,1.0,4.0,Visa,2962.0
149,150,1149,Hill,4.0,Chicago,Female,54.0,12.0,37607.0,3.0,0.0,0.0,100021.0,35447.66554478765,1.0,5.0,MasterCard,2282.0
150,151,1150,Lynch,89.0,San Antonio,Male,41.0,12.0,84178.0,4.0,0.0,1.0,35605.0,21315.32990234978,1.0,3.0,Visa,552.0
151,152,1151,Foley,13.0,Denver,Male,66.0,12.0,24993.0,8.0,0.0,1.0,70713.0,18427.7985175218,1.0,8.0,American Express,2447.0
152,153,1152,Huerta,26.0,San Diego,Male,36.0,1.0,45386.0,6.0,0.0,0.0,171462.0,59628.2701451477,1.0,6.0,Discover,4252.0
153,154,1153,Gutierrez,8.0,San Jose,Male,68.0,8.0,47287.0,2.0,1.0,1.0,95403.0,59575.49211849928,0.0,9.0,Visa,1477.0
154,155,1154,Howard,78.0,Washington,Male,42.0,7.0,87724.0,9.0,1.0,1.0,78466.0,38840.84945372506,1.0,6.0,Visa,570.0
155,156,1155,Horn,14.0,Charlotte,Male,38.0,6.0,99132.0,2.0,1.0,0.0,23981.0,23522.16293566727,1.0,7.0,American Express,4952.0
156,157,1156,Barron,89.0,Charlotte,Male,29.0,3.0,94308.0,5.0,1.0,0.0,160565.0,68380.47384976753,0.0,5.0,Discover,1727.0
157,158,1157,Coleman,41.0,New York,Female,58.0,17.0,97393.0,4.0,0.0,1.0,135631.0,78268.1351380942,0.0,7.0,Discover,591.0
158,159,1158,,76.0,Washington,Male,50.0,2.0,77312.0,7.0,1.0,1.0,139238.0,74075.39488528532,0.0,2.0,MasterCard,4516.0
159,160,1159,Phillips,50.0,San Antonio,Male,67.0,5.0,99371.0,8.0,0.0,0.0,115335.0,34989.434607568386,0.0,9.0,MasterCard,2260.0
160,161,1160,Clark,62.0,Houston,Female,70.0,11.0,76324.0,5.0,1.0,1.0,127441.0,77196.40213827608,0.0,9.0,Discover,2947.0
161,162,1161,Taylor,95.0,Philadelphia,Male,21.0,11.0,72196.0,10.0,1.0,1.0,36984.0,41391.780342437545,1.0,0.0,American Express,347.0
162,163,1162,Price,51.0,New York,Male,59.0,20.0,71014.0,5.0,1.0,0.0,145580.0,58221.1346263833,0.0,5.0,American Express,165.0
163,164,1163,Fleming,95.0,Phoenix,Female,24.0,7.0,9210.0,2.0,1.0,0.0,131316.0,31984.417552651656,1.0,0.0,MasterCard,4443.0
164,165,1164,Gomez,3.0,New York,Male,39.0,0.0,11922.0,8.0,0.0,0.0,173832.0,54608.76612221728,1.0,8.0,Visa,2896.0
165,166,1165,Lynch,93.0,Houston,Male,50.0,3.0,37289.0,2.0,1.0,0.0,152596.0,48620.10980543395,1.0,1.0,American Express,4493.0
166,167,1166,Cooper,100.0,Los Angeles,Male,34.0,20.0,34340.0,10.0,1.0,0.0,138454.0,52341.36873946605,1.0,10.0,Visa,582.0
167,168,1167,Barry,22.0,San Jose,Female,41.0,10.0,40850.0,6.0,0.0,0.0,69402.0,10388.547136411356,1.0,1.0,American Express,3506.0
168,169,1168,Griffin,14.0,Phoenix,Male,51.0,2.0,57984.0,8.0,0.0,1.0,111656.0,40836.623919632606,1.0,6.0,Discover,4403.0
169,170,1169,,42.0,San Jose,Male,45.0,12.0,85178.0,6.0,1.0,1.0,85614.0,69955.17200174907,0.0,1.0,MasterCard,3038.0
170,171,1170,Thornton,28.0,New York,Female,60.0,16.0,12094.0,4.0,0.0,0.0,186963.0,59462.85032651981,0.0,9.0,Visa,2845.0
171,172,1171,Hicks,35.0,Philadelphia,Male,58.0,9.0,88959.0,6.0,0.0,0.0,111009.0,73803.78278102924,0.0,7.0,Visa,2766.0
172,173,1172,Ray,12.0,Fort Worth,Female,56.0,20.0,34418.0,6.0,0.0,1.0,190904.0,82393.68195590135,0.0,5.0,Discover,4194.0
173,174,1173,Munoz,31.0,Charlotte,Female,39.0,11.0,6741.0,4.0,1.0,1.0,65836.0,9761.672854117416,0.0,6.0,American Express,2447.0
